test time
delete_time_500_entries 1138
insert_time_500_entries 1123
query_time_500_entries 591
delete_time_500_entries_transaction 186
insert_time_500_entries_transaction 121
executeTransaction_ten_transactions 6
update_time_500_entries 832
query_time_500_entries_transaction 517
update_time_500_entries_transaction 163
delete_time_500_entries 1032
insert_time_500_entries 1024
query_time_500_entries 618
delete_time_500_entries_transaction 168
insert_time_500_entries_transaction 151
executeTransaction_ten_transactions 9
update_time_500_entries 863
query_time_500_entries_transaction 498
update_time_500_entries_transaction 197
delete_time_500_entries 1112
insert_time_500_entries 1002
query_time_500_entries 626
delete_time_500_entries_transaction 179
insert_time_500_entries_transaction 117
executeTransaction_ten_transactions 17
update_time_500_entries 861
query_time_500_entries_transaction 554
update_time_500_entries_transaction 341
delete_time_500_entries 1144
insert_time_500_entries 1071
query_time_500_entries 644
delete_time_500_entries_transaction 206
insert_time_500_entries_transaction 209
executeTransaction_ten_transactions 18
update_time_500_entries 898
query_time_500_entries_transaction 616
update_time_500_entries_transaction 144
delete_time_500_entries 1310
insert_time_500_entries 1079
query_time_500_entries 626
delete_time_500_entries_transaction 236
insert_time_500_entries_transaction 118
executeTransaction_ten_transactions 8
update_time_500_entries 776
query_time_500_entries_transaction 570
update_time_500_entries_transaction 152
delete_time_500_entries 1152
insert_time_500_entries 1059
query_time_500_entries 641
delete_time_500_entries_transaction 213
insert_time_500_entries_transaction 142
executeTransaction_ten_transactions 9
update_time_500_entries 824
query_time_500_entries_transaction 582
update_time_500_entries_transaction 186
delete_time_500_entries 1109
insert_time_500_entries 1038
query_time_500_entries 642
delete_time_500_entries_transaction 211
insert_time_500_entries_transaction 170
executeTransaction_ten_transactions 5
update_time_500_entries 891
query_time_500_entries_transaction 596
update_time_500_entries_transaction 205
delete_time_500_entries 1084
insert_time_500_entries 1061
query_time_500_entries 656
delete_time_500_entries_transaction 246
insert_time_500_entries_transaction 124
executeTransaction_ten_transactions 13
update_time_500_entries 847
query_time_500_entries_transaction 462
update_time_500_entries_transaction 183
delete_time_500_entries 1198
insert_time_500_entries 1099
query_time_500_entries 783
delete_time_500_entries_transaction 175
insert_time_500_entries_transaction 137
executeTransaction_ten_transactions 4
update_time_500_entries 898
query_time_500_entries_transaction 496
update_time_500_entries_transaction 118
delete_time_500_entries 1089
insert_time_500_entries 1091
query_time_500_entries 676
delete_time_500_entries_transaction 186
insert_time_500_entries_transaction 122
executeTransaction_ten_transactions 17
update_time_500_entries 962
query_time_500_entries_transaction 391
update_time_500_entries_transaction 131
delete_time_500_entries 1212
insert_time_500_entries 1078
query_time_500_entries 612
delete_time_500_entries_transaction 215
insert_time_500_entries_transaction 193
executeTransaction_ten_transactions 5
update_time_500_entries 789
query_time_500_entries_transaction 467
update_time_500_entries_transaction 145
delete_time_500_entries 1199
insert_time_500_entries 1071
query_time_500_entries 630
delete_time_500_entries_transaction 284
insert_time_500_entries_transaction 196
executeTransaction_ten_transactions 16
update_time_500_entries 931
query_time_500_entries_transaction 672
update_time_500_entries_transaction 176
delete_time_500_entries 1194
insert_time_500_entries 1038
query_time_500_entries 600
delete_time_500_entries_transaction 189
insert_time_500_entries_transaction 115
executeTransaction_ten_transactions 9
update_time_500_entries 869
query_time_500_entries_transaction 586
update_time_500_entries_transaction 183
delete_time_500_entries 1171
insert_time_500_entries 1013
query_time_500_entries 642
delete_time_500_entries_transaction 221
insert_time_500_entries_transaction 182
executeTransaction_ten_transactions 8
update_time_500_entries 930
query_time_500_entries_transaction 600
update_time_500_entries_transaction 202
delete_time_500_entries 1182
insert_time_500_entries 1059
query_time_500_entries 668
delete_time_500_entries_transaction 238
insert_time_500_entries_transaction 142
executeTransaction_ten_transactions 11
update_time_500_entries 814
query_time_500_entries_transaction 859
update_time_500_entries_transaction 219
delete_time_500_entries 1254
insert_time_500_entries 1064
query_time_500_entries 680
delete_time_500_entries_transaction 252
insert_time_500_entries_transaction 123
executeTransaction_ten_transactions 9
update_time_500_entries 875
query_time_500_entries_transaction 509
update_time_500_entries_transaction 160
delete_time_500_entries 1010
insert_time_500_entries 998
query_time_500_entries 671
delete_time_500_entries_transaction 207
insert_time_500_entries_transaction 139
executeTransaction_ten_transactions 18
update_time_500_entries 719
query_time_500_entries_transaction 527
update_time_500_entries_transaction 154
delete_time_500_entries 1129
insert_time_500_entries 1037
query_time_500_entries 686
delete_time_500_entries_transaction 242
insert_time_500_entries_transaction 187
executeTransaction_ten_transactions 16
update_time_500_entries 876
query_time_500_entries_transaction 535
update_time_500_entries_transaction 172
delete_time_500_entries 1152
insert_time_500_entries 1011
query_time_500_entries 692
delete_time_500_entries_transaction 224
insert_time_500_entries_transaction 117
executeTransaction_ten_transactions 10
update_time_500_entries 1040
query_time_500_entries_transaction 898
update_time_500_entries_transaction 229
delete_time_500_entries 1154
insert_time_500_entries 1085
query_time_500_entries 683
delete_time_500_entries_transaction 272
insert_time_500_entries_transaction 123
executeTransaction_ten_transactions 10
update_time_500_entries 841
query_time_500_entries_transaction 480
update_time_500_entries_transaction 192
delete_time_500_entries 1146
insert_time_500_entries 1069
query_time_500_entries 634
delete_time_500_entries_transaction 210
insert_time_500_entries_transaction 159
executeTransaction_ten_transactions 16
update_time_500_entries 956
query_time_500_entries_transaction 533
update_time_500_entries_transaction 163
delete_time_500_entries 970
insert_time_500_entries 1067
query_time_500_entries 623
delete_time_500_entries_transaction 253
insert_time_500_entries_transaction 115
executeTransaction_ten_transactions 6
update_time_500_entries 957
query_time_500_entries_transaction 538
update_time_500_entries_transaction 158
delete_time_500_entries 1075
insert_time_500_entries 979
query_time_500_entries 718
delete_time_500_entries_transaction 250
insert_time_500_entries_transaction 126
executeTransaction_ten_transactions 15
update_time_500_entries 867
query_time_500_entries_transaction 480
update_time_500_entries_transaction 149
delete_time_500_entries 1245
insert_time_500_entries 1046
query_time_500_entries 677
delete_time_500_entries_transaction 251
insert_time_500_entries_transaction 137
executeTransaction_ten_transactions 7
update_time_500_entries 931
query_time_500_entries_transaction 578
update_time_500_entries_transaction 120
delete_time_500_entries 1056
insert_time_500_entries 1037
query_time_500_entries 665
delete_time_500_entries_transaction 208
insert_time_500_entries_transaction 121
executeTransaction_ten_transactions 11
update_time_500_entries 897
query_time_500_entries_transaction 610
update_time_500_entries_transaction 158
delete_time_500_entries 1204
insert_time_500_entries 1081
query_time_500_entries 689
delete_time_500_entries_transaction 227
insert_time_500_entries_transaction 126
executeTransaction_ten_transactions 11
update_time_500_entries 901
query_time_500_entries_transaction 515
update_time_500_entries_transaction 203
delete_time_500_entries 1153
insert_time_500_entries 1018
query_time_500_entries 679
delete_time_500_entries_transaction 231
insert_time_500_entries_transaction 160
executeTransaction_ten_transactions 9
update_time_500_entries 933
query_time_500_entries_transaction 527
update_time_500_entries_transaction 195
delete_time_500_entries 1210
insert_time_500_entries 1035
query_time_500_entries 706
delete_time_500_entries_transaction 273
insert_time_500_entries_transaction 142
executeTransaction_ten_transactions 6
update_time_500_entries 940
query_time_500_entries_transaction 577
update_time_500_entries_transaction 151
delete_time_500_entries 1057
insert_time_500_entries 1055
query_time_500_entries 782
delete_time_500_entries_transaction 193
insert_time_500_entries_transaction 129
executeTransaction_ten_transactions 7
update_time_500_entries 927
query_time_500_entries_transaction 490
update_time_500_entries_transaction 176
delete_time_500_entries 1180
insert_time_500_entries 1051
query_time_500_entries 728
delete_time_500_entries_transaction 209
insert_time_500_entries_transaction 136
executeTransaction_ten_transactions 6
update_time_500_entries 878
query_time_500_entries_transaction 517
update_time_500_entries_transaction 244
delete_time_500_entries 1115
insert_time_500_entries 1090
query_time_500_entries 652
delete_time_500_entries_transaction 214
insert_time_500_entries_transaction 175
executeTransaction_ten_transactions 15
update_time_500_entries 928
query_time_500_entries_transaction 585
update_time_500_entries_transaction 266
delete_time_500_entries 1213
insert_time_500_entries 1071
query_time_500_entries 671
delete_time_500_entries_transaction 262
insert_time_500_entries_transaction 144
executeTransaction_ten_transactions 39
update_time_500_entries 985
query_time_500_entries_transaction 510
update_time_500_entries_transaction 139
delete_time_500_entries 1051
insert_time_500_entries 1042
query_time_500_entries 648
delete_time_500_entries_transaction 198
insert_time_500_entries_transaction 132
executeTransaction_ten_transactions 9
update_time_500_entries 927
query_time_500_entries_transaction 754
update_time_500_entries_transaction 163
delete_time_500_entries 1045
insert_time_500_entries 1050
query_time_500_entries 624
delete_time_500_entries_transaction 192
insert_time_500_entries_transaction 142
executeTransaction_ten_transactions 15
update_time_500_entries 861
query_time_500_entries_transaction 564
update_time_500_entries_transaction 172
delete_time_500_entries 1116
insert_time_500_entries 1108
query_time_500_entries 610
delete_time_500_entries_transaction 270
insert_time_500_entries_transaction 124
executeTransaction_ten_transactions 14
update_time_500_entries 913
query_time_500_entries_transaction 490
update_time_500_entries_transaction 149
delete_time_500_entries 1184
insert_time_500_entries 1040
query_time_500_entries 610
delete_time_500_entries_transaction 169
insert_time_500_entries_transaction 155
executeTransaction_ten_transactions 4
update_time_500_entries 821
query_time_500_entries_transaction 558
update_time_500_entries_transaction 175
delete_time_500_entries 1123
insert_time_500_entries 1042
query_time_500_entries 614
delete_time_500_entries_transaction 200
insert_time_500_entries_transaction 173
executeTransaction_ten_transactions 18
update_time_500_entries 852
query_time_500_entries_transaction 637
update_time_500_entries_transaction 179
delete_time_500_entries 1097
insert_time_500_entries 952
query_time_500_entries 631
delete_time_500_entries_transaction 280
insert_time_500_entries_transaction 105
executeTransaction_ten_transactions 16
update_time_500_entries 899
query_time_500_entries_transaction 597
update_time_500_entries_transaction 219
delete_time_500_entries 1196
insert_time_500_entries 1046
query_time_500_entries 861
delete_time_500_entries_transaction 258
insert_time_500_entries_transaction 114
executeTransaction_ten_transactions 6
update_time_500_entries 985
query_time_500_entries_transaction 549
update_time_500_entries_transaction 177
delete_time_500_entries 1136
insert_time_500_entries 1057
query_time_500_entries 665
delete_time_500_entries_transaction 183
insert_time_500_entries_transaction 155
executeTransaction_ten_transactions 14
update_time_500_entries 707
query_time_500_entries_transaction 536
update_time_500_entries_transaction 195
delete_time_500_entries 1047
insert_time_500_entries 1035
query_time_500_entries 715
delete_time_500_entries_transaction 229
insert_time_500_entries_transaction 196
executeTransaction_ten_transactions 12
update_time_500_entries 925
query_time_500_entries_transaction 580
update_time_500_entries_transaction 159
delete_time_500_entries 1154
insert_time_500_entries 1080
query_time_500_entries 702
delete_time_500_entries_transaction 253
insert_time_500_entries_transaction 253
executeTransaction_ten_transactions 6
update_time_500_entries 1065
query_time_500_entries_transaction 616
update_time_500_entries_transaction 194
delete_time_500_entries 1244
insert_time_500_entries 1027
query_time_500_entries 664
delete_time_500_entries_transaction 250
insert_time_500_entries_transaction 218
executeTransaction_ten_transactions 13
update_time_500_entries 963
query_time_500_entries_transaction 669
update_time_500_entries_transaction 173
delete_time_500_entries 1151
insert_time_500_entries 1080
query_time_500_entries 745
delete_time_500_entries_transaction 227
insert_time_500_entries_transaction 117
executeTransaction_ten_transactions 6
update_time_500_entries 975
